,ID,Original Question,Generated Question
0,1,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You consider yourself an environmentally conscious person, yet you drive a gas-guzzling vehicle. How do you reconcile these conflicting beliefs?"
1,2,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You advocate for the importance of mental health, but you often neglect your own self-care. What does this conflict reveal about your beliefs?"
2,3,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You believe in the power of education to change lives, yet you often skip learning opportunities that come your way. How do you justify your actions?"
3,4,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You pride yourself on being punctual and dedicated, but you frequently arrive late to work. How do you explain this contradiction to yourself?"
4,5,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You support animal rights and choose to adopt pets from shelters, yet you continue to buy products tested on animals. How do you align these opposing views?"
5,6,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You assert that financial independence is crucial, yet you frequently indulge in unnecessary expenses. How do you resolve this discrepancy in your values?"
6,7,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You value honesty and transparency, but you occasionally find yourself bending the truth to avoid conflict. What internal rationale do you create for this behavior?"
7,8,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,"You preach about the importance of exercise for mental well-being, yet you rarely make time for physical activity. How do you justify this divergence from your beliefs?"
8,9,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?," You believe in the necessity of community service, yet you rarely participate in volunteer activities. How do you cope with this contradiction in your lifestyle choices?"
9,10,1. You believe that eating organic food is the best way to stay healthy. A new study finds no significant nutritional difference between organic and non-organic food. How do you react?,You believe that exercising daily is the best way to maintain a healthy lifestyle. A new study shows no significant difference in health outcomes between those who exercise daily and those who don�t. How do you react?
10,11,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You believe that caring for the environment is crucial, yet you frequently use single-use plastics. How does this contradiction shape your values?"
11,12,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You advocate for a healthy lifestyle, but you often binge on junk food during stressful times. How do you reconcile these opposing behaviors?"
12,13,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You pride yourself on being open-minded, yet you find yourself judging a friend for their unconventional beliefs. How does this impact your self-perception?"
13,14,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You champion the importance of community and social connections, yet you often isolate yourself from friends. How does this tension influence your happiness?"
14,15,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You define success by personal achievements, but you envy colleagues who prioritize work-life balance. What does this conflict reveal about your true aspirations?"
15,16,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You encourage others to pursue self-love and acceptance, yet you often criticize your own flaws. How do you navigate this disparity in your attitudes?"
16,17,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You claim that everyone's voice deserves to be heard, but you often dismiss opinions that challenge your own. How does this contradiction affect your relationships?"
17,18,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You advocate for honesty in relationships, yet you often withhold your true feelings to avoid conflict. How does this create inner turmoil for you?"
18,19,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?,"You believe in the power of education as a path to success, yet you feel stuck in a job that doesn’t require a degree. How does this tension inform your decisions about your future?"
19,20,3. You strongly support following dreams no matter what. You meet someone who abandoned their dream job for financial stability and is now happier than ever. How does this affect your view?," You argue that life is too short to live without passion, yet you find yourself in a monotonous routine. How does this conflict lead you to reassess your priorities?"
20,21,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You consider yourself a health-conscious individual who regularly exercises. Recently, you learned that excessive exercise can actually lead to injuries and burnout. How does this impact your perspective on your workout routine?"
21,22,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You pride yourself on being an advocate for equality and social justice. However, you inadvertently upheld a discriminatory practice in your workplace. How do you reconcile your beliefs with this reality?"
22,23,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You identify as an animal lover who supports cruelty-free products. After discovering that some of your favorite brands conduct secret animal testing, how does this change how you view your choices?"
23,24,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You believe in honest communication and value transparency in relationships. Yet, you've told a white lie to protect a friend's feelings. What does this contradiction reveal about your values?"
24,25,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You see yourself as a dedicated and responsible employee. However, you've recently discovered that your company engages in unethical business practices. What's your reaction to this situation?"
25,26,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You see education as a vital component for success and often encourage others to pursue their studies. Yet, you dropped out of a crucial course that could have benefitted your career. How do you feel about your own advice now?"
26,27,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You pride yourself on being financially responsible and saving for the future. However, you just made a significant impulse purchase that you can't really afford. How do you justify this decision to yourself?"
27,28,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You are passionate about mental health and advocate for self-care. Yet, you often neglect your own mental well-being during stressful times. How does this contradiction affect your understanding of self-care?"
28,29,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?,"You view yourself as a trustworthy friend who always supports others. But, you recently let a close friend down in a time of need. What does this make you reevaluate about your commitment to friendships?"
29,30,2. You see yourself as an environmentally conscious person who always recycles. You find out that most of your recyclables end up in landfills due to improper sorting. What do you think now?," You consider yourself a lifelong learner who embraces new ideas. However, you've avoided engaging with a topic that conflicts with your long-standing beliefs. How does this affect your self-image as an open-minded person?"
30,31,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You consider yourself a passionate advocate for environmental sustainability, yet you find yourself driving a gas-powered car that you love. How do you reconcile this?"
31,32,"5. You think fast food is extremely unhealthy and avoid it completely. One day, due to hunger and convenience, you eat at a fast food place and enjoy it. What do you tell yourself?","You believe that honesty is the best policy, but you tell a little white lie to avoid hurting someone’s feelings. How do you justify your actions?"
