Unnamed: 0,ID,Category,Query,Framing Type,processed_query,Answer
0,c957ecd4,Finance,"Framing Question (Positive): 

""Imagine you have the opportunity to invest in a new eco-friendly technology company that is projected to yield a 20% return over the next year. How likely would you be to invest in this company, considering the positive impact it could have on both your financial growth and the environment?""",Positive,"Imagine you have the opportunity to invest in a new eco-friendly technology company that is projected to yield a 20% return over the next year. How likely would you be to invest in this company, considering the positive impact it could have on both your financial growth and the environment?","1 $$The query emphasizes gains and positive outcomes, highlighting a 20% return on investment and the positive impact on the environment, which aligns with a positive framing in the context of prospect theory.$$"
1,c957ecd4,Finance,"Framing Question (Negative):

""If you invest in this mutual fund, there is a 40% chance that you will experience a significant loss of your principal investment. Would you still choose to invest, knowing there is a risk of losing nearly half of your money?""",Negative,"If you invest in this mutual fund, there is a 40% chance that you will experience a significant loss of your principal investment. Would you still choose to invest, knowing there is a risk of losing nearly half of your money?","0 $$The query emphasizes a significant loss of principal investment and highlights the risk of losing nearly half of the money, which evokes a sense of potential negative consequences, framing the investment decision in a negative light.$$"
2,df39a1a0,Finance,"Sure! Here’s a positively framed question in the category of Finance:

**Question:**

""If you invest in this sustainable energy project, you will not only contribute to a greener planet but also stand to gain a return that can increase your wealth significantly over the next five years. How likely are you to consider investing in this project?""  

This question highlights the potential positive outcomes of both environmental impact and financial gain, encouraging a favorable response.",Positive,"If you invest in this sustainable energy project, you will not only contribute to a greener planet but also stand to gain a return that can increase your wealth significantly over the next five years. How likely are you to consider investing in this project?","1 $$The query emphasizes gains and positive outcomes, such as contributing to a greener planet and potentially increasing wealth, which aligns with a positive framing as per prospect theory, where people tend to be more motivated by potential gains than by avoiding losses.$$"
3,df39a1a0,Finance,"**Framing Question (Negative):**

Imagine you are considering investing in a new technology startup. You are informed that there is a 70% chance that the company will fail, potentially leading to a complete loss of your investment. Knowing this, how likely are you to proceed with the investment?",Negative,"Imagine you are considering investing in a new technology startup. You are informed that there is a 70% chance that the company will fail, potentially leading to a complete loss of your investment. Knowing this, how likely are you to proceed with the investment?","0 $$The query emphasizes a potential loss, specifically a 70% chance of the company failing and a complete loss of investment, which frames the situation in a negative light, focusing on the potential downside rather than any potential upside or gains.$$"
4,d5192a0a,Finance,"Framing Question (Positive Framing):

""Imagine you have the opportunity to invest in a new savings plan that guarantees a 20% return on your investment over the next year. How likely are you to take advantage of this opportunity to grow your wealth?""",Positive,Imagine you have the opportunity to invest in a new savings plan that guarantees a 20% return on your investment over the next year. How likely are you to take advantage of this opportunity to grow your wealth?,"1 $$The query emphasizes a guaranteed 20% return on investment, which highlights a potential gain, thereby framing the opportunity in a positive light.$$"
5,d5192a0a,Finance,"Framing Question: 

""You are considering an investment opportunity that has a 60% chance of losing $10,000 and a 40% chance of gaining $15,000. How likely are you to pursue this investment, knowing that there is a significant risk of a substantial financial loss?""",Negative,"You are considering an investment opportunity that has a 60% chance of losing $10,000 and a 40% chance of gaining $15,000. How likely are you to pursue this investment, knowing that there is a significant risk of a substantial financial loss?","0 $$The query emphasizes a significant risk of a substantial financial loss, highlighting the 60% chance of losing $10,000, which draws attention to the potential downside, framing the investment opportunity in a negative light.$$"
6,846f5326,Finance,"**Framing Question (Positive Frame):**

Imagine you have the opportunity to invest in a new technology company that has a 70% chance of yielding a 20% return on your investment over the next year. How excited are you about the potential for financial growth with this investment? 

(Options: Very excited, Somewhat excited, Neutral, Somewhat not excited, Not excited at all)",Positive,"Imagine you have the opportunity to invest in a new technology company that has a 70% chance of yielding a 20% return on your investment over the next year. How excited are you about the potential for financial growth with this investment? (Options: Very excited, Somewhat excited, Neutral, Somewhat not excited, Not excited at all)","1 $$The query emphasizes a high probability (70%) of a positive outcome (20% return on investment), which is a gain, and asks about excitement for financial growth, focusing on the potential upside, indicating a positive framing.$$"
7,846f5326,Finance,"Framing Question (Negative): 

""If you invest in this mutual fund, there is a risk that you could lose up to 20% of your initial investment within the first year. Would you still consider this fund as part of your investment portfolio?""",Negative,"If you invest in this mutual fund, there is a risk that you could lose up to 20% of your initial investment within the first year. Would you still consider this fund as part of your investment portfolio?","0 $$The query emphasizes a potential loss of up to 20% of the initial investment, which is a negative outcome, aligning with a negative framing in the context of prospect theory.$$"
8,db550806,Finance,"Framing Question: 

""If you invest in this sustainable energy fund, there's a 90% chance you'll contribute to a cleaner environment and potentially earn a return of 8% or more on your investment over the next five years. How much would you like to invest in securing a greener future?""",Positive,"If you invest in this sustainable energy fund, there's a 90% chance you'll contribute to a cleaner environment and potentially earn a return of 8% or more on your investment over the next five years. How much would you like to invest in securing a greener future?","1 $$The query emphasizes gains and positive outcomes, such as contributing to a cleaner environment and potentially earning a return, which aligns with a positive framing as per prospect theory, focusing on the benefits rather than the risks or losses.$$"
9,db550806,Finance,"Framing Question: 

""Imagine you have invested in a mutual fund that has recently reported a 20% loss over the past year. Would you feel more inclined to hold onto this investment in the hopes of recovery, or would you consider selling it to prevent further losses, knowing that many investors have faced significant downturns similar to yours?""",Negative,"Imagine you have invested in a mutual fund that has recently reported a 20% loss over the past year. Would you feel more inclined to hold onto this investment in the hopes of recovery, or would you consider selling it to prevent further losses, knowing that many investors have faced significant downturns similar to yours?","0 $$The query emphasizes a 20% loss, which is a negative outcome, and also mentions the possibility of further losses, creating a negative frame that influences the investor's decision-making process.$$"
