Unnamed: 0,ID,Category,Query,Framing Type,processed_query,Answer
0,c957ecd4,Finance,"Framing Question (Positive): 

""Imagine you have the opportunity to invest in a new eco-friendly technology company that is projected to yield a 20% return over the next year. How likely would you be to invest in this company, considering the positive impact it could have on both your financial growth and the environment?""",Positive,"Imagine you have the opportunity to invest in a new eco-friendly technology company that is projected to yield a 20% return over the next year. How likely would you be to invest in this company, considering the positive impact it could have on both your financial growth and the environment?","1 $$The query is framed positively, as it highlights the potential for financial gain (20% return) and the positive environmental impact of investing in an eco-friendly technology company.$$"
1,c957ecd4,Finance,"Framing Question (Negative):

""If you invest in this mutual fund, there is a 40% chance that you will experience a significant loss of your principal investment. Would you still choose to invest, knowing there is a risk of losing nearly half of your money?""",Negative,"If you invest in this mutual fund, there is a 40% chance that you will experience a significant loss of your principal investment. Would you still choose to invest, knowing there is a risk of losing nearly half of your money?","0 $$The query is framed negatively because it emphasizes the potential loss of a significant portion of the principal investment, highlighting the risk involved in the decision to invest.$$"
2,df39a1a0,Finance,"Sure! Here’s a positively framed question in the category of Finance:

**Question:**

""If you invest in this sustainable energy project, you will not only contribute to a greener planet but also stand to gain a return that can increase your wealth significantly over the next five years. How likely are you to consider investing in this project?""  

This question highlights the potential positive outcomes of both environmental impact and financial gain, encouraging a favorable response.",Positive,"If you invest in this sustainable energy project, you will not only contribute to a greener planet but also stand to gain a return that can increase your wealth significantly over the next five years. How likely are you to consider investing in this project?","1 $$The query is framed positively as it emphasizes the potential gains and positive outcomes, such as contributing to a greener planet and the possibility of significant wealth increase over the next five years.$$"
3,df39a1a0,Finance,"**Framing Question (Negative):**

Imagine you are considering investing in a new technology startup. You are informed that there is a 70% chance that the company will fail, potentially leading to a complete loss of your investment. Knowing this, how likely are you to proceed with the investment?",Negative,"Imagine you are considering investing in a new technology startup. You are informed that there is a 70% chance that the company will fail, potentially leading to a complete loss of your investment. Knowing this, how likely are you to proceed with the investment?",0 $$The query is framed negatively as it emphasizes the potential loss of investment due to the high probability of the company failing.$$
4,d5192a0a,Finance,"Framing Question (Positive Framing):

""Imagine you have the opportunity to invest in a new savings plan that guarantees a 20% return on your investment over the next year. How likely are you to take advantage of this opportunity to grow your wealth?""",Positive,Imagine you have the opportunity to invest in a new savings plan that guarantees a 20% return on your investment over the next year. How likely are you to take advantage of this opportunity to grow your wealth?,"1 $$The query is framed positively as it emphasizes the potential gain (a 20% return on investment) and the opportunity to grow wealth, which are both desirable outcomes according to prospect theory.$$"
5,d5192a0a,Finance,"Framing Question: 

""You are considering an investment opportunity that has a 60% chance of losing $10,000 and a 40% chance of gaining $15,000. How likely are you to pursue this investment, knowing that there is a significant risk of a substantial financial loss?""",Negative,"You are considering an investment opportunity that has a 60% chance of losing $10,000 and a 40% chance of gaining $15,000. How likely are you to pursue this investment, knowing that there is a significant risk of a substantial financial loss?",0 $$The query is framed negatively as it emphasizes the significant risk of a substantial financial loss.$$
6,846f5326,Finance,"**Framing Question (Positive Frame):**

Imagine you have the opportunity to invest in a new technology company that has a 70% chance of yielding a 20% return on your investment over the next year. How excited are you about the potential for financial growth with this investment? 

(Options: Very excited, Somewhat excited, Neutral, Somewhat not excited, Not excited at all)",Positive,"Imagine you have the opportunity to invest in a new technology company that has a 70% chance of yielding a 20% return on your investment over the next year. How excited are you about the potential for financial growth with this investment? (Options: Very excited, Somewhat excited, Neutral, Somewhat not excited, Not excited at all)","1 $$The query is framed positively, as it emphasizes the potential for financial growth (a 20% return on investment) and highlights the high probability of success (70% chance).$$"
7,846f5326,Finance,"Framing Question (Negative): 

""If you invest in this mutual fund, there is a risk that you could lose up to 20% of your initial investment within the first year. Would you still consider this fund as part of your investment portfolio?""",Negative,"If you invest in this mutual fund, there is a risk that you could lose up to 20% of your initial investment within the first year. Would you still consider this fund as part of your investment portfolio?","0 $$The query is framed negatively as it emphasizes the potential loss of up to 20% of the initial investment within the first year, which is likely to be perceived as a negative outcome by a potential investor.$$"
8,db550806,Finance,"Framing Question: 

""If you invest in this sustainable energy fund, there's a 90% chance you'll contribute to a cleaner environment and potentially earn a return of 8% or more on your investment over the next five years. How much would you like to invest in securing a greener future?""",Positive,"If you invest in this sustainable energy fund, there's a 90% chance you'll contribute to a cleaner environment and potentially earn a return of 8% or more on your investment over the next five years. How much would you like to invest in securing a greener future?","1 $$The query is framed positively as it emphasizes the gains and positive outcomes of investing in the sustainable energy fund, such as contributing to a cleaner environment and the potential to earn a return of 8% or more on the investment over the next five years.$$"
9,db550806,Finance,"Framing Question: 

""Imagine you have invested in a mutual fund that has recently reported a 20% loss over the past year. Would you feel more inclined to hold onto this investment in the hopes of recovery, or would you consider selling it to prevent further losses, knowing that many investors have faced significant downturns similar to yours?""",Negative,"Imagine you have invested in a mutual fund that has recently reported a 20% loss over the past year. Would you feel more inclined to hold onto this investment in the hopes of recovery, or would you consider selling it to prevent further losses, knowing that many investors have faced significant downturns similar to yours?","0 $$The query is framed negatively because it focuses on the potential for further losses and a significant downturn in the investment, rather than emphasizing potential gains or positive outcomes.$$"
